time,roll,pitch,yaw
5.180,0.033400,-0.048740,0.049739
5.200,0.026114,-0.072623,0.045804
5.220,-0.007402,-0.090025,0.020450
5.240,0.006990,-0.035792,0.029189
5.260,0.001336,-0.110326,0.032101
5.280,0.008399,-0.060659,0.030177
5.300,0.024191,-0.048104,0.024899
5.320,0.049431,-0.039821,0.027322
5.340,0.073495,-0.054135,0.031734
5.360,0.057457,-0.022552,0.030644
5.380,0.016432,-0.039351,0.028744
5.400,0.063884,-0.059534,0.010904
5.420,0.062358,-0.080533,0.025355
5.440,0.100649,-0.145154,0.044733
5.460,0.048155,-0.079892,0.022168
5.480,0.038776,-0.094918,0.033468
5.500,0.041482,-0.101912,0.027222
5.520,0.040748,-0.077455,0.042630
5.540,0.051501,-0.076023,0.024527
5.560,0.020599,-0.073329,0.033088
5.580,0.022520,-0.097989,0.031977
5.600,0.044047,-0.093242,0.050540
5.620,0.014051,-0.063996,0.034351
5.640,0.052631,-0.124183,0.034629
5.660,0.053214,-0.115188,0.026721
5.680,0.088380,-0.087532,0.021330
5.700,0.661664,0.610987,0.024196
5.720,0.098034,-0.112854,0.034545
5.740,0.056919,-0.145325,0.043074
5.760,0.081812,-0.113164,0.042382
5.780,0.095844,-0.100985,0.020493
5.800,0.083078,-0.050004,0.036530
5.820,0.047050,-0.099251,0.041981
5.840,0.062877,-0.123880,0.047376
5.860,0.056079,-0.077408,0.049373
5.880,0.055793,-0.092142,0.047022
5.900,0.048410,-0.116887,0.029881
5.920,0.043406,-0.122559,0.031455
5.940,0.028701,-0.103236,0.030302
5.960,0.056728,-0.149871,0.022324
5.980,0.076807,-0.154373,0.030582
6.000,0.279937,-0.043010,0.017151
6.020,0.289237,-0.024042,0.027786
6.040,0.305906,-0.006691,0.037782
6.060,0.307301,-0.022418,0.018668
6.080,0.281908,0.020337,0.017605
6.100,0.274975,0.011153,0.033727
6.120,0.331936,-0.039717,0.042221
6.140,0.258201,0.006219,0.027475
6.160,0.279579,-0.044326,0.032707
6.180,0.283479,-0.049836,0.019940
6.200,0.249410,-0.026249,0.029106
6.220,0.281039,-0.015699,0.044561
6.240,0.242555,-0.033899,0.028911
6.260,0.287885,-0.025868,0.039057
6.280,0.250657,-0.022187,0.038379
6.300,0.264606,0.011177,0.045032
6.320,0.288770,-0.038190,0.032526
6.340,0.284452,0.029360,0.030259
6.360,0.274892,0.017405,0.035679
6.380,0.311158,0.002672,0.042176
6.400,0.245337,-0.042153,0.019595
6.420,0.258871,-0.007477,0.039267
6.440,0.258041,-0.030273,0.038000
6.460,0.261771,-0.007810,0.019867
6.480,0.221905,-0.008840,0.010293
6.500,0.209353,-0.057521,0.027725
6.520,0.231524,-0.001733,0.027512
6.540,0.180986,-0.013928,0.035426
6.560,0.237971,-0.010280,0.016600
6.580,0.235667,0.012028,0.020550
6.600,0.232885,0.004362,0.033169
6.620,0.249711,-0.009635,0.020345
6.640,0.225139,0.022224,0.026833
6.660,0.213352,-0.006754,0.037786
6.680,0.222525,-0.049674,0.030527
6.700,0.224451,-0.000702,0.037469
6.720,0.220313,-0.028888,0.025281
6.740,0.247139,-0.011617,0.037611
6.760,0.227363,0.041180,0.021844
6.780,0.190003,-0.038481,0.027085
6.800,0.201220,0.002556,0.038300
6.820,0.182332,0.013881,0.025744
6.840,0.139163,0.046531,0.024056
6.860,0.194190,0.036703,0.010816
6.880,0.205080,0.022289,0.031529
6.900,0.209486,-0.001920,0.019140
6.920,0.168109,-0.019324,0.036013
6.940,0.216555,-0.015402,0.025585
6.960,0.160463,-0.019078,0.007811
6.980,0.171498,0.009749,0.031537
7.000,0.182612,0.018084,0.013805
7.020,0.142116,-0.000328,0.018974
7.040,0.145709,-0.021943,0.029360
7.060,0.169016,0.020831,0.025097
7.080,0.187680,0.043263,0.018725
7.100,0.157170,0.052985,0.028374
7.120,0.151817,0.066708,0.027441
7.140,0.135795,0.022120,0.035999
7.160,0.510219,-0.246082,0.021902
7.180,0.088702,0.053789,0.012773
7.200,0.110600,-0.005323,0.026321
7.220,0.138016,0.008201,0.018199
7.240,0.127136,-0.012537,0.023832
7.260,0.144567,0.014836,0.038265
7.280,0.147761,0.018517,0.026969
7.300,0.148800,0.000574,0.011421
7.320,0.142778,0.050587,0.026418
7.340,0.119525,0.068883,0.031898
7.360,0.167276,0.082282,0.019953
7.380,0.124286,0.067175,0.012563
7.400,0.132412,0.089851,0.003339
7.420,0.074393,0.065210,0.018540
7.440,0.093406,0.040842,0.033685
7.460,0.057145,0.030954,0.045692
7.480,0.133390,0.012266,0.034047
7.500,0.085480,0.011581,0.019204
7.520,0.091413,0.072507,0.026094
7.540,0.115354,0.076708,0.025531
7.560,0.124239,0.080789,0.007543
7.580,0.113340,0.092634,0.027384
7.600,0.116727,0.044876,0.025388
7.620,0.128586,0.082699,0.009090
7.640,0.104343,0.073413,0.013976
7.660,0.123654,0.071822,0.029643
7.680,0.122736,0.026526,0.023241
7.700,0.096179,0.065326,0.009844
7.720,0.104930,0.050519,0.035269
7.740,0.087773,0.043836,0.023932
7.760,0.120709,0.059480,0.013918
7.780,0.102756,0.051153,0.013135
7.800,0.057554,0.066049,0.015117
7.820,0.082068,0.082396,0.032808
7.840,0.106484,0.112082,0.028727
7.860,0.108394,0.095908,0.017637
7.880,0.091416,0.086296,0.027837
7.900,0.132436,0.096020,0.018301
7.920,0.126730,0.066211,0.025964
7.940,0.136748,0.079946,0.018212
7.960,0.134879,0.051371,0.008236
7.980,0.122756,0.082686,0.028592
8.000,0.111136,0.048798,0.023338
8.020,0.116554,0.085653,0.021262
8.040,0.102752,0.080879,0.010876
8.060,0.105398,0.075612,0.018211
8.080,0.125006,0.105993,0.006926
8.100,0.119279,0.079704,0.035027
8.120,0.137259,0.134489,0.025588
8.140,0.133400,0.094457,0.018473
8.160,0.126592,0.073341,-0.003061
8.180,0.118128,0.081117,0.023028
8.200,0.159754,0.068109,0.021836
8.220,0.168786,0.063477,0.011912
8.240,0.202679,0.034146,-0.002863
8.260,0.146430,0.056301,0.028870
8.280,0.174718,0.063329,0.021650
8.300,0.162044,0.061092,0.019254
8.320,0.122070,0.137443,0.031874
8.340,0.124964,0.092035,0.015518
8.360,0.225769,0.191803,0.027776
8.380,0.313741,0.257651,0.004279
8.400,-0.057504,-0.097541,0.034934
8.420,0.208421,0.136032,0.014979
8.440,0.279129,0.185387,-0.000050
8.460,0.266443,0.233376,0.018356
8.480,-0.004211,-0.106571,0.014885
8.500,0.277165,0.171270,0.007024
8.520,-0.026216,-0.120762,0.029617
8.540,0.327860,0.259524,0.011528
8.560,-0.099999,-0.189429,-0.010083
8.580,0.276731,0.169799,0.014788
8.600,0.201483,0.049193,0.020677
8.620,0.163477,0.051984,0.007430
8.640,0.326764,0.261863,0.027051
8.660,0.457219,0.312543,0.002185
8.680,0.348135,0.239043,0.012934
8.700,0.118691,-0.010955,0.032105
8.720,0.200412,0.106512,0.019921
8.740,0.300746,0.220013,0.002559
8.760,0.017963,-0.063966,0.010893
8.780,0.169806,0.047202,0.011582
8.800,-0.085150,-0.191531,0.007273
8.820,0.079011,-0.010782,0.005738
8.840,0.289136,0.206701,0.039830
8.860,0.447656,0.330763,0.023545
8.880,0.008113,-0.154386,0.015342
8.900,0.672711,0.520864,0.019784
8.920,0.219385,0.103474,0.008653
8.940,0.206070,0.064978,0.023111
8.960,0.135424,0.026042,0.008209
8.980,0.205134,0.093757,0.005263
9.000,0.589826,0.504196,0.007634
9.020,0.126877,0.047555,0.021640
9.040,0.173261,0.157315,0.021304
9.060,0.081796,-0.002296,0.003500
9.080,0.318675,0.239158,0.019470
9.100,0.062954,0.013648,0.024450
9.120,0.464703,0.388842,0.007641
9.140,0.290772,0.176766,-0.005181
9.160,0.093560,0.019698,0.005271
9.180,-0.004236,-0.175961,0.000415
9.200,0.233996,0.096016,0.016084
9.220,0.241315,0.146500,0.024255
9.240,0.198786,0.087293,-0.000653
9.260,0.281277,0.168156,0.014685
9.280,0.178211,0.085649,0.019540
9.300,-0.042843,-0.118177,-0.014453
9.320,0.164369,0.090049,0.014093
9.340,0.032246,0.035845,0.019886
9.360,-0.160868,-0.225565,0.002415
9.380,0.058435,0.045995,0.014492
9.400,0.033924,0.022897,0.008578
9.420,0.081988,0.043071,0.014127
9.440,-0.066511,-0.171250,0.023869
9.460,0.564049,0.453728,0.005377
9.480,0.254700,0.204051,0.024614
9.500,0.065546,-0.052707,0.010699
9.520,0.118185,0.031633,0.009955
9.540,0.079557,-0.022922,0.023624
9.560,0.261853,0.189106,-0.006993
9.580,0.254561,0.249755,0.006336
9.600,0.222222,0.198654,0.010743
9.620,0.091921,0.113195,0.005137
9.640,-0.062435,-0.082680,0.009097
9.660,-0.088101,-0.134959,0.014111
9.680,0.023470,0.012136,0.007960
9.700,0.181368,0.168397,-0.017463
9.720,0.091391,0.050555,-0.005381
9.740,-0.061708,-0.123823,0.017156
9.760,-0.075297,-0.057510,0.011411
9.780,0.206152,0.184813,-0.000468
9.800,0.022862,-0.021362,-0.017167
9.820,0.017107,-0.018336,0.004402
9.840,-0.244183,-0.240603,0.020732
9.860,0.214503,0.215915,0.009920
9.880,0.188708,0.179513,-0.005836
9.900,0.218833,0.279176,0.009754
9.920,0.172606,0.198435,-0.007329
9.940,0.192102,0.217525,0.025994
9.960,0.173543,0.229083,-0.005645
9.980,-0.071631,-0.046807,-0.004276
10.000,0.062748,0.238686,0.005318
10.020,0.186839,0.339333,-0.013045
10.040,-0.300199,-0.104823,0.005615
10.060,-0.042271,0.049713,-0.002707
10.080,0.004705,0.172752,-0.010486
10.100,0.086471,0.256858,0.003522
10.120,-0.365029,-0.214605,0.010695
10.140,-0.186021,-0.013059,0.006198
10.160,-0.026070,0.118504,0.000189
10.180,-0.094552,0.049532,-0.001890
10.200,-0.145897,0.009028,0.018903
10.220,-0.060012,0.026417,0.002383
10.240,-0.253274,-0.146609,0.010571
10.260,0.003112,0.127860,0.004154
10.280,-0.318983,-0.103323,-0.017370
10.300,-0.103831,0.051009,-0.000873
10.320,-0.070112,0.115476,0.010144
10.340,-0.388433,-0.189280,0.007452
10.360,-0.157451,0.030329,-0.004493
10.380,-0.118109,0.058057,-0.002512
10.400,-0.126980,0.103274,-0.012751
10.420,-0.145353,0.080282,-0.001141
10.440,-0.080732,0.033032,0.002769
10.460,-0.119453,0.034720,-0.002333
10.480,-0.115473,0.058923,0.009386
10.500,-0.119927,0.018164,-0.005879
10.520,-0.093810,0.073165,-0.001411
10.540,-0.081955,0.037580,-0.005850
10.560,-0.127148,0.032621,-0.012346
10.580,-0.136104,0.111546,-0.016142
10.600,-0.131097,0.045116,0.014537
10.620,-0.111485,0.079201,0.007281
10.640,-0.115873,0.041181,-0.020227
10.660,-0.116136,0.086586,-0.000757
10.680,-0.104103,0.055680,0.002525
10.700,-0.102704,0.085479,-0.022673
10.720,-0.043770,0.057237,-0.009666
10.740,-0.098496,0.063684,0.000040
10.760,-0.102680,0.037712,-0.000871
10.780,-0.064479,0.067627,-0.007976
10.800,-0.052552,0.081493,-0.008983
10.820,0.055791,0.191932,0.001446
10.840,0.046721,0.261262,-0.007588
10.860,-0.204585,-0.028195,-0.010503
10.880,-0.086278,0.138751,-0.015467
10.900,-0.253557,-0.076431,-0.017057
10.920,0.026571,0.214161,0.008088
10.940,-0.044602,0.073412,-0.002722
10.960,-0.183501,-0.039979,-0.007725
10.980,-0.028307,0.110389,-0.001270
11.000,0.309062,0.396146,-0.009579
11.020,-0.284045,-0.180138,-0.000622
11.040,0.052820,0.163300,0.004972
11.060,-0.246444,-0.077510,-0.005968
11.080,0.021247,0.152882,-0.015680
11.100,-0.047397,0.077276,0.007234
11.120,0.106404,0.307786,-0.008184
11.140,-0.181212,-0.000310,-0.013647
11.160,0.127071,0.271235,0.005554
11.180,-0.180428,0.009478,-0.009559
11.200,-0.124127,0.073458,-0.006241
11.220,0.134727,0.263782,0.004388
11.240,-0.106542,0.014987,-0.004456
11.260,0.286192,0.364163,-0.021058
11.280,-0.057912,0.059652,0.003051
11.300,-0.266902,-0.135671,-0.004495
11.320,-0.234377,-0.083388,-0.003785
11.340,0.362460,0.504221,0.005923
11.360,0.138999,0.285267,-0.004486
11.380,0.090041,0.146597,-0.005846
11.400,0.294918,0.418721,-0.002031
11.420,0.110018,0.218644,-0.008295
11.440,0.014152,0.059356,0.005747
11.460,0.045696,0.135841,-0.021742
11.480,0.202501,0.296609,-0.011670
11.500,-0.139970,-0.059275,-0.007561
11.520,-0.057653,0.043689,-0.006851
11.540,-0.244392,-0.148751,0.017819
11.560,0.129555,0.309431,-0.005139
11.580,-0.003017,0.141057,-0.009326
11.600,0.068351,0.186515,-0.016078
11.620,0.120958,0.263499,-0.013846
11.640,-0.015919,0.103334,-0.003120
11.660,-0.089905,0.058586,-0.013806
11.680,-0.127793,-0.002725,-0.024529
11.700,0.000857,0.063147,-0.018554
11.720,-0.229876,-0.169335,-0.006585
11.740,0.056356,0.162913,0.000990
11.760,-0.155398,-0.097732,0.010972
11.780,0.110848,0.192773,-0.027685
11.800,-0.139557,-0.052382,-0.020414
11.820,-0.051376,0.099704,0.007982
11.840,-0.108410,-0.037842,-0.016290
11.860,0.445799,0.557894,0.000303
11.880,-0.020545,0.078109,-0.009616
11.900,-0.129826,-0.010527,-0.025357
11.920,0.011219,0.079018,-0.008940
11.940,-0.048190,0.061101,-0.001676
11.960,0.011411,0.071332,-0.011485
11.980,-0.003407,0.076888,-0.021654
12.000,0.001999,0.045961,-0.030130
12.020,0.264248,0.277158,-0.020450
12.040,-0.141507,-0.049555,-0.010256
12.060,-0.055413,0.067771,-0.029864
12.080,0.055864,0.185390,-0.002832
12.100,-0.161512,-0.074784,-0.002349
12.120,-0.083266,0.027078,-0.010992
12.140,-0.131028,-0.028023,-0.009277
12.160,0.059645,0.245480,-0.018142
12.180,-0.037586,0.075780,-0.017356
12.200,0.004655,0.077429,-0.032895
12.220,-0.108470,-0.035418,-0.003835
12.240,-0.156814,-0.124800,-0.017291
12.260,-0.147863,-0.093178,-0.020206
12.280,0.101596,0.126682,-0.009087
12.300,-0.015170,0.041155,-0.023977
12.320,0.018041,0.037203,-0.030796
12.340,0.086605,0.175551,-0.017949
12.360,0.178674,0.294666,-0.013461
12.380,0.012032,0.076602,-0.017299
12.400,-0.307057,-0.210256,-0.025541
12.420,-0.118524,-0.084124,0.008270
12.440,-0.096833,0.022298,-0.020591
12.460,0.066000,0.110237,0.001886
12.480,-0.025637,0.053720,-0.011002
12.500,-0.332040,-0.306357,-0.020277
12.520,-0.197325,-0.166166,-0.018209
12.540,0.041433,0.099451,-0.017058
12.560,-0.156907,-0.076798,-0.027160
12.580,-0.107033,-0.035487,-0.012793
12.600,0.017417,0.064904,-0.021948
12.620,-0.022741,0.034756,-0.022033
12.640,-0.073131,0.018875,0.000775
12.660,0.129237,0.159072,-0.015535
12.680,-0.217228,-0.185911,-0.007004
12.700,0.036784,0.032349,-0.045785
12.720,-0.140612,-0.127747,-0.026057
12.740,-0.154301,-0.131162,-0.038551
12.760,0.098317,0.146769,-0.029257
12.780,-0.003301,0.004540,-0.013426
12.800,-0.002002,0.032968,-0.019871
12.820,-0.049325,-0.006688,-0.007599
12.840,-0.036244,0.011702,-0.007395
12.860,-0.026531,0.008258,-0.035169
12.880,-0.038327,0.008593,-0.027775
12.900,-0.042138,-0.014177,-0.017617
12.920,-0.023743,-0.004879,-0.016759
12.940,0.021230,0.012555,-0.014977
12.960,-0.000258,-0.017284,-0.016928
12.980,0.006545,-0.042821,-0.035664
13.000,0.026920,-0.011787,-0.026311
13.020,0.012472,-0.052251,-0.026953
13.040,0.036520,-0.040742,-0.029593
13.060,0.024664,0.002211,-0.024404
13.080,-0.002179,-0.043446,-0.014735
13.100,0.058904,-0.039366,-0.017338
13.120,0.040079,-0.020996,-0.010938
13.140,0.054779,-0.031925,-0.039221
13.160,0.060865,-0.033178,-0.022182
13.180,0.055772,-0.019816,-0.028104
13.200,0.083074,-0.039556,-0.026955
13.220,-0.675636,-0.706668,-0.027609
13.240,0.107517,-0.108596,-0.033109
13.260,0.117304,-0.056797,-0.023301
13.280,0.134260,-0.033175,-0.023172
13.300,0.131594,-0.030443,-0.025378
13.320,0.152230,-0.040768,-0.026208
13.340,0.147854,-0.018357,-0.027213
13.360,0.104059,-0.030712,-0.011643
13.380,0.186847,-0.025393,-0.035468
13.400,0.150108,-0.022705,-0.028047
13.420,0.154929,0.018500,-0.019469
13.440,0.150715,-0.033116,-0.003091
13.460,0.152520,-0.047203,-0.016369
13.480,0.182165,-0.034144,-0.008469
13.500,0.225044,-0.063985,-0.017739
13.520,0.219766,-0.057384,-0.031264
13.540,0.223461,-0.057978,-0.017941
13.560,0.247801,-0.059331,-0.025067
13.580,0.246629,-0.034166,-0.021561
13.600,0.290850,-0.043031,-0.004211
13.620,0.280940,-0.040691,-0.014476
13.640,0.242380,-0.041122,-0.031570
13.660,0.258278,0.010905,-0.029655
13.680,0.262004,-0.039276,-0.023120
13.700,0.268597,-0.039038,-0.021271
13.720,0.281962,-0.053000,-0.035864
13.740,0.332752,-0.038750,-0.029896
13.760,0.272721,-0.072737,-0.030120
13.780,0.282571,-0.049078,-0.020509
13.800,0.311867,-0.044002,-0.018798
13.820,0.345738,-0.073297,-0.037493
13.840,0.355226,-0.051034,-0.019260
13.860,0.402494,-0.007357,-0.016099
13.880,0.379535,-0.030424,-0.043220
13.900,0.364976,0.018666,-0.039732
13.920,0.374414,-0.073244,-0.012596
13.940,0.439130,-0.037073,-0.023870
13.960,0.376603,-0.059028,-0.032499
13.980,0.415973,-0.068871,-0.004750
14.000,0.426198,0.018848,-0.031552
14.020,0.407286,-0.087609,-0.035057
14.040,0.432322,-0.034448,-0.026407
14.060,0.441853,-0.031090,-0.026091
14.080,0.437060,-0.047273,-0.013436
14.100,0.432061,0.010062,-0.035699
